Timestamp,Full Name,UOregon Email,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Assigned Team,Assigned Team 2,Assigned Team 3
2017/04/11 1:13:23 PM MDT,Cary Quinn,caryq@uoregon.edu,10am;4pm;11am;1pm;5pm;2pm;9am,3pm;7pm;8pm;5pm;12pm;10am;9am,4pm;3pm;8am;2pm;10am,4pm;7pm;11am,7pm;2pm;3pm;4pm;1pm;11am;6pm;9am,8am;8pm;5pm;7pm,11am;12pm,6,13,3
2017/04/11 1:34:14 PM MDT,Brittany Hogan,britt@uoregon.edu,12pm;7pm;11am;2pm;6pm;3pm;5pm;9am,4pm;12pm;11am;10am;7pm;8pm;2pm;8am;6pm,11am;1pm;8pm;8am;4pm,4pm;2pm;7pm;11am;12pm;1pm;5pm,8am;3pm;11am;4pm,5pm;3pm;6pm;12pm;10am,4pm;7pm;2pm;1pm;5pm,2,7,1
2017/04/11 1:35:48 PM MDT,Arturo Daniel,arturod@uoregon.edu,6pm;3pm;4pm;8pm;8am;11am;10am;9am,11am;2pm;8pm;7pm;10am;9am;5pm;4pm,5pm;2pm;8am;7pm;12pm;8pm;6pm,10am;5pm;11am;2pm;9am;6pm,9am;2pm;3pm;8pm;5pm,10am;8am;3pm;2pm;11am;12pm,9am;10am;7pm;2pm;8am;6pm;4pm;5pm;8pm,1,5,8
2017/04/11 1:37:53 PM MDT,Marie Mitchell,mm@uoregon.edu,8pm,3pm;9am,10am;3pm;1pm;11am;12pm;4pm;7pm,10am,8am;8pm;6pm;2pm;4pm;3pm;11am;10am,,12pm;5pm;10am,7,6,1
2017/04/11 1:11:32 PM MDT,Cecil Sims,csims@uoregon.edu,8pm;9am;1pm;11am;2pm;7pm;4pm,8pm,8am;7pm;3pm;6pm;9am;1pm;11am,8am;5pm;11am;10am;6pm;7pm;8pm,6pm;8am;9am;4pm,,8pm;12pm;5pm;9am;8am;7pm;1pm,4,4,11
2017/04/11 1:13:23 PM MDT,Randy Boyd,randyb@uoregon.edu,2pm;8pm,8pm;8am;3pm;11am;10am;1pm,,6pm;4pm;9am;1pm;8am;3pm;11am;10am,12pm;10am;8am;7pm;9am;4pm;3pm;11am,8am;8pm;6pm,7pm,4,8,11
2017/04/11 1:34:14 PM MDT,Elisa Gonzalez,egonzolas@uoregon.edu,9am;2pm;8am;12pm;5pm;4pm;10am,11am;8pm;3pm;1pm;2pm;8am;10am;9am;7pm,8pm;8am;1pm;2pm;7pm;9am,8pm,9am;12pm;1pm;4pm;10am;3pm;2pm;11am;6pm;8pm,1pm;10am;7pm;12pm;6pm;8am;3pm;9am,5pm;1pm;12pm,1,10,6
2017/04/11 1:35:48 PM MDT,Melinda Curry,melly@uoregon.edu,,5pm;1pm;3pm;9am;6pm;2pm;12pm,5pm;8pm;10am;3pm;11am;8am;6pm,3pm;6pm;2pm;9am,6pm;5pm,2pm;1pm,9am;10am;2pm;8am;6pm;7pm;8pm;11am;1pm,13,13,5
2017/04/11 1:37:53 PM MDT,Joanne Wells,joannewells@uoregon.edu,12pm;9am;7pm;3pm,9am;8pm;10am;6pm,11am,7pm;6pm;3pm;9am;2pm;11am;8pm,3pm;5pm;7pm;6pm;10am;11am,10am;11am;3pm;4pm;6pm,2pm;8pm;11am;5pm;6pm;8am;10am;1pm,6,9,2
2017/04/11 1:11:32 PM MDT,Faye Mann,fmann@uoregon.edu,4pm;8am;12pm;5pm;6pm;11am;3pm,1pm;9am;5pm;11am;7pm;8pm;8am;3pm,3pm;6pm;8pm;10am,11am;3pm;7pm;4pm;1pm;9am,10am;8pm;2pm;5pm,,11am;12pm;1pm,11,5,3
2017/04/11 1:13:23 PM MDT,Carrie Dawson,cdawson@uoregon.edu,8am;2pm;10am;11am;12pm;8pm,3pm;5pm;1pm;7pm;4pm;11am;12pm,8pm;10am,10am;1pm;2pm;4pm;12pm;9am,8am;9am;11am;3pm;10am;7pm;6pm,8am;4pm,2pm;9am;4pm;8am;10am;6pm,12,3,6
2017/04/11 1:34:14 PM MDT,Leroy Rhodes,leroyrhodes@uoregon.edu,7pm,5pm;3pm,4pm;12pm;6pm;1pm,11am;9am,8am;6pm;2pm;7pm;5pm;10am;12pm,8pm;6pm,11am;10am;3pm;2pm,13,1,12
2017/04/11 1:35:48 PM MDT,Rex Bishop,rbishop@uoregon.edu,6pm;8am;7pm;8pm;11am;3pm,3pm;1pm;8pm;9am,5pm;1pm;2pm;4pm;12pm;3pm;8am,10am;2pm;3pm;5pm;11am;8am;9am;8pm,9am;12pm;11am;5pm,4pm,5pm;8am;1pm;8pm;7pm;9am;3pm;12pm,1,12,13
2017/04/11 1:37:53 PM MDT,Kim Harris,kharris@uoregon.edu,3pm;4pm;9am;5pm,1pm;4pm;10am;11am;5pm;3pm,12pm;3pm;7pm;4pm,7pm;10am;8am;12pm;4pm;3pm;8pm,9am;8am;1pm;12pm;10am;8pm;11am;2pm;3pm,4pm;5pm;2pm;8am,7pm;6pm;9am;11am;5pm;8pm,9,5,8
2017/04/11 1:11:32 PM MDT,Enrique May,emay@uoregon.edu,4pm;11am;7pm;10am;6pm;5pm;2pm;9am,9am;6pm;8pm;1pm;2pm;5pm,11am;2pm;5pm;12pm;8pm;10am,7pm;1pm;4pm;2pm;8pm;8am;12pm;11am;10am,12pm;8pm;7pm;3pm;2pm;9am;10am;8am;11am,8pm;12pm,8am;3pm;4pm;1pm;7pm;8pm;5pm;9am;12pm;11am,7,11,12
2017/04/11 1:13:23 PM MDT,Eunice Wagner,ewagner@uoregon.edu,8pm;4pm;10am;5pm;9am;8am;1pm;3pm,8pm;5pm;4pm,8pm;7pm;9am;3pm;2pm;8am;1pm;10am;11am;4pm,11am;8pm;7pm;2pm;1pm;8am,8pm;7pm;11am;4pm;1pm,12pm;2pm;10am,6pm;8pm;10am;1pm;3pm;4pm,5,7,13
2017/04/11 1:34:14 PM MDT,Dave Phelps,dphelps@uoregon.edu,3pm;8pm;6pm,8am;12pm;1pm;11am;5pm;6pm,9am;12pm;8pm;5pm;4pm,9am;3pm;12pm,12pm;8am;6pm;2pm;5pm;7pm;10am;1pm;11am,1pm;8pm,5pm;8am;12pm;9am;7pm;11am,5,8,7
2017/04/11 1:35:48 PM MDT,Terrance Barnett,tbarnett@uoregon.edu,5pm;8am;12pm;6pm;9am,11am;2pm;10am;3pm;12pm;4pm;5pm;8am;7pm,10am;4pm;8pm;6pm;11am;5pm;7pm;8am,8pm;3pm;1pm;12pm;7pm;8am;2pm;4pm;9am;10am,12pm;2pm;11am;5pm;9am;8pm;7pm;4pm;3pm,12pm;1pm;2pm;3pm;4pm;9am;10am;8am,1pm;12pm;11am,12,1,13
2017/04/11 1:37:53 PM MDT,Marc George,marc@uoregon.edu,12pm;9am;6pm;2pm;1pm,3pm;8am;11am;4pm;10am,2pm,2pm;4pm;6pm;8am;8pm;5pm;3pm;9am;1pm,9am;3pm;10am;1pm;7pm,5pm;9am;4pm;8pm,10am;5pm;12pm;7pm;4pm,13,7,4
2017/04/11 1:11:32 PM MDT,Brett Mcguire,brettm@uoregon.edu,8am,7pm;12pm;2pm,7pm;1pm;2pm;10am;12pm;4pm;8am;5pm;11am,2pm;3pm;1pm;5pm;6pm;9am;8am;10am;8pm,3pm;7pm;12pm;2pm,12pm;8am;8pm;9am;6pm;1pm;11am;4pm,1pm;12pm;7pm;4pm;2pm,3,9,12
2017/04/11 1:13:23 PM MDT,Benny Townsend,benny4@uoregon.edu,4pm;3pm;8am;5pm;11am;1pm,8am;2pm;11am;6pm;7pm;4pm;3pm,12pm;9am;11am;5pm;8am;2pm,7pm;8am;6pm;9am;5pm;1pm;2pm;8pm,2pm;1pm;11am;12pm;10am;8pm,8pm;12pm;6pm;8am;9am,1pm;8pm;6pm;11am;9am;10am,10,6,2
2017/04/11 1:34:14 PM MDT,Gretchen Goodman,goodman55@uoregon.edu,1pm;6pm;10am;3pm;2pm;9am,10am;2pm;9am,7pm;2pm;5pm;6pm;8am;4pm;8pm;9am;12pm,1pm;4pm;9am;8pm,7pm;3pm;8pm;5pm;6pm,6pm;7pm;11am;10am;5pm;2pm;8am,5pm;6pm;9am;2pm;7pm;12pm;10am;4pm,10,2,3
2017/04/11 1:35:48 PM MDT,Orlando Richardson,orich@uoregon.edu,6pm;9am;1pm;4pm;8pm;7pm;8am,3pm;12pm;8am;9am;2pm,3pm;7pm;9am;2pm;6pm;11am;12pm;8am,2pm;9am;6pm;3pm;10am,8pm;4pm;6pm;3pm;2pm;9am;12pm;1pm,2pm;5pm;1pm;9am;11am;3pm;10am,2pm;5pm;1pm;12pm;9am;11am;3pm,13,12,9
2017/04/11 1:37:53 PM MDT,Iris Silva,irissilva@uoregon.edu,9am;10am,2pm;12pm;10am,7pm;9am;12pm;2pm;1pm;11am,11am;10am;1pm;5pm;6pm;8am;8pm;2pm;12pm,9am;8pm;8am;3pm;2pm;11am,8am;12pm;1pm,9am;6pm;4pm,2,13,10
2017/04/11 1:11:32 PM MDT,William Garner,garner@uoregon.edu,10am;9am;8pm;4pm,,8am,4pm;9am;2pm;5pm;1pm;3pm;8pm;7pm;11am,2pm;11am;3pm;5pm,9am;11am;10am;7pm;4pm;8pm,11am;6pm;3pm;4pm;2pm;1pm;7pm;10am,8,12,8
2017/04/11 1:11:32 PM MDT,Elijah Maldonado,maldonado@uoregon.edu,7pm;2pm;10am,10am;4pm,9am;8am;7pm;8pm;4pm,8am;2pm;4pm;12pm;3pm;9am,7pm;1pm,8am;3pm;12pm,2pm;9am;10am;1pm;4pm;7pm,7,10,7
2017/04/11 1:13:23 PM MDT,Elmer Russell,russell@uoregon.edu,7pm;5pm,10am;6pm;7pm;8am;8pm;12pm;3pm,8am;10am;8pm;2pm;11am,9am;10am;4pm;3pm;12pm,4pm;9am;1pm;8pm;7pm;6pm;8am,8pm;12pm;8am;3pm;11am;7pm,4pm;10am;12pm,9,2,4
2017/04/11 1:34:14 PM MDT,Winston Soto,sotowinston@uoregon.edu,4pm;1pm;5pm;11am;8am;2pm;10am;3pm,6pm;8pm;12pm;7pm;1pm;3pm;9am;8am;11am,7pm,,11am;2pm;1pm;10am;4pm;12pm,6pm;12pm;3pm;10am;5pm,8am;3pm;4pm;7pm;1pm;2pm;8pm;9am,2,1,9
2017/04/11 1:11:32 PM MDT,Noah Hampton,noah@uoregon.edu,12pm;11am;6pm;3pm,,7pm;6pm;12pm;11am;1pm;4pm,3pm;8am;12pm;8pm;6pm;5pm;1pm,10am;11am;8pm;9am;8am;6pm;7pm,1pm;12pm;6pm;5pm;2pm;7pm,3pm;5pm;4pm;11am;7pm;8pm,12,8,5
